sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,60,256,gpu,0,22f608994157ea09a2d43e7ba6731c529bb830b032732518478eae05571863c1,1.0808519710003566,0.4344602979999763,"[0.0002053510002042458, 0.0002146530000572966, 0.000195644999621436, 0.00019509799994921195, 0.00018017399997916073, 0.00018380700021225493, 0.00017661199990470777, 0.0001696869999250339, 0.0001750960000208579, 0.00016783999990366283]",0.00018199050009570783,0.00017547499999182037,0.00019550824970338
sobol,normal,60,256,cpu,1,22f608994157ea09a2d43e7ba6731c529bb830b032732518478eae05571863c1,1.0808519710003566,0.1640254589997312,"[0.0002542899997024506, 0.00025856799993562163, 0.00024739299988141283, 0.00024567699983890634, 0.0002308590001121047, 0.00023504899991166894, 0.00022926899964659242, 0.00022873199986861437, 0.0002341210001759464, 0.000220066000110819]",0.00023458500004380767,0.0002296664997629705,0.0002469639998707862
sobol,normal,60,512,cpu,0,bc887baf19d16d808b94cfe4d3e066c456436216a8c056484686a4c7fc2e2541,1.1013852379996933,0.16526870500001678,"[0.0005350540000108595, 0.0005129370001668576, 0.0005054009998275433, 0.00048581900000499445, 0.0004987279999113525, 0.0004756660000566626, 0.000494139000238647, 0.0005126340001879726, 0.0005256200001895195, 0.00047406199973920593]",0.0005020644998694479,0.0004878990000634076,0.0005128612501721364
sobol,normal,60,512,gpu,1,bc887baf19d16d808b94cfe4d3e066c456436216a8c056484686a4c7fc2e2541,1.1013852379996933,0.509209712000029,"[0.0002129399999830639, 0.000247305999891978, 0.00024427100015600445, 0.00021376499989855802, 0.00021537300017371308, 0.00020068399999217945, 0.00020136300008744001, 0.00019910199989681132, 0.0001992110001083347, 0.0001910700002554222]",0.00020715150003525196,0.0001995792500792959,0.00021497100010492431
sobol,normal,60,2048,gpu,0,d1f053c504fe1b3608cc98c3c9645806affedda4dc328aef83e8e86948a6d27b,1.231200023999918,0.6899146119999386,"[0.0002523339999243035, 0.0002816340002027573, 0.0002810830001180875, 0.0002810589999171498, 0.0002470159997756127, 0.0002449869998599752, 0.00026752199983093305, 0.0002599690001261479, 0.00024245099984909757, 0.0002491189998181653]",0.0002561515000252257,0.0002475417497862509,0.0002776747498955956
sobol,normal,60,2048,cpu,1,d1f053c504fe1b3608cc98c3c9645806affedda4dc328aef83e8e86948a6d27b,1.231200023999918,0.1806792120000864,"[0.001324915000168403, 0.001251652000064496, 0.00140203199998723, 0.001361929999802669, 0.0013541909997911716, 0.0012590390001605556, 0.0012619019998965086, 0.001389036000091437, 0.0013486610000654764, 0.001272139000320749]",0.0013367880001169397,0.0012644612500025687,0.0013599952497997947
sobol,normal,60,8192,cpu,0,e247f35b011c19921dfef24515763352424e6e229878c8d69f7f586197e997c8,1.2630798539998978,0.17049068699998315,"[0.004258864999883372, 0.0056258889999298844, 0.0041197079999619746, 0.0039555469998049375, 0.003844091000246408, 0.004229427000154828, 0.0038110189998405986, 0.004191211000033945, 0.003804708000188839, 0.004199618000257033]",0.00415545949999796,0.0038719550001360403,0.0042219747501803795
sobol,normal,60,8192,gpu,1,e247f35b011c19921dfef24515763352424e6e229878c8d69f7f586197e997c8,1.2630798539998978,0.6708860310000091,"[0.00029020700003457023, 0.00033063199998650816, 0.0003578740002012637, 0.0003417999996599974, 0.00031452400025955285, 0.0002979630003210332, 0.0002942559999610239, 0.0002880030001506384, 0.0002929279999079881, 0.0003092990000368445]",0.00030363100017893885,0.00029325999992124707,0.00032660500005476933
sobol,normal,60,32768,gpu,0,7c4b3c75ad2be06b7f4180bd3de0577d4b52588d737f2cd94ff253cff8066bba,1.3410843130000103,0.7787216749998151,"[0.00042772000006152666, 0.0004777740000463382, 0.0004729649999717367, 0.00045954899997013854, 0.00046269399990706006, 0.0004524870000750525, 0.0004529649995674845, 0.00047344499989776523, 0.0004479609997360967, 0.0004699669998444733]",0.0004611214999385993,0.0004526064999481605,0.00047221549993992085
sobol,normal,60,32768,cpu,1,7c4b3c75ad2be06b7f4180bd3de0577d4b52588d737f2cd94ff253cff8066bba,1.3410843130000103,0.18094502100029786,"[0.01651764199959871, 0.016302092999922024, 0.016551853000237315, 0.018177018000187672, 0.016944083999987924, 0.015346839999892836, 0.01673787599975185, 0.015642402000139555, 0.017075831000056496, 0.01516172599986021]",0.016534747499918012,0.015807324750085172,0.016892531999928906
halton,normal,2,128,cpu,0,caa56592d440c4cd7517c7718f7cc838983c56ade149b0dcdc4315d7e0de4476,1.7162671910000427,0.0002524300002733071,"[9.97930001176428e-05, 9.555199994792929e-05, 9.242199985237676e-05, 8.908299969334621e-05, 8.80939996932284e-05, 8.904900005290983e-05, 8.959499973570928e-05, 9.832800014919485e-05, 9.373200009576976e-05, 0.0001025050000862393]",9.307699997407326e-05,8.921099970393698e-05,9.763400009887846e-05
halton,normal,2,128,gpu,1,caa56592d440c4cd7517c7718f7cc838983c56ade149b0dcdc4315d7e0de4476,1.7162671910000427,0.0008425640003224544,"[0.0005331080001269584, 0.0005501299997376918, 0.000537157000053412, 0.000543617999937851, 0.0005247169997346646, 0.000531973000306607, 0.0005293200001688092, 0.000525566999840521, 0.0005238369999460701, 0.0005301999999574036]",0.0005310865001320053,0.0005265052499225931,0.0005361447500717986
halton,normal,2,256,gpu,0,296a7e41f77a8f1f518073a09da41268cf906ec248ef89ac0dfa53da9ee6e941,0.31150783199973375,0.0010842270003195154,"[0.0005446720001600625, 0.0005494800002452394, 0.0005184880001252168, 0.0005317379996085947, 0.0005166609998923377, 0.0005217339999035175, 0.0005175230003260367, 0.0005247289996077598, 0.0005652599998029473, 0.0005400629997893702]",0.0005282334996081772,0.000519299500069792,0.0005435197500673894
halton,normal,2,256,cpu,1,296a7e41f77a8f1f518073a09da41268cf906ec248ef89ac0dfa53da9ee6e941,0.31150783199973375,0.0003442719998929533,"[0.00014946800001780502, 0.0001716199999464152, 0.00015312599998651422, 0.0001475019998906646, 0.00014706599995406577, 0.00014898800009177648, 0.0001484829999753856, 0.00016213099979722756, 0.00015047599981699022, 0.00014758699990125024]",0.00014922800005479075,0.00014781099991978408,0.00015246349994413322
halton,normal,2,512,cpu,0,49349b6bef63f047b4dc4578e8c3c399a615eda1fa4ceabce3b7296a5baca37c,0.3208238080001138,0.0004987729998902068,"[0.0002847729997483839, 0.00027592100013862364, 0.0002878729997064511, 0.0002838709997377009, 0.00027563999992707977, 0.0002854169997590361, 0.00027326500003255205, 0.00028350299999146955, 0.0002757680003924179, 0.000333165000029112]",0.00028368699986458523,0.0002758062503289693,0.00028525599975637306
halton,normal,2,512,gpu,1,49349b6bef63f047b4dc4578e8c3c399a615eda1fa4ceabce3b7296a5baca37c,0.3208238080001138,0.0009906400000545545,"[0.0006552529998771206, 0.0006415259999812406, 0.0006656349996774225, 0.0006452580000768648, 0.0006303039999693283, 0.0006596299999728217, 0.000650914000289049, 0.00063911500001268, 0.00064580800017211, 0.0006444999999075662]",0.0006455330001244874,0.000642269499962822,0.0006541682499801027
