parameter,meaning,unit,ekf,sqmc,sqmc_minus_ekf
alpha,Baseline log scoring rate,log goals,0.21938629666334505,0.2781135265785763,0.058727229915231244
beta,Log rate of the shared Poisson component,log goals,-3.5020707591347,-3.4872954152458266,0.014775343888873138
kappa,OU mean-reversion rate,per day,0.0006147236271612383,0.0006152692839367732,5.456567755349065e-07
friendly_scale,Strength scaling for friendly matches,dimensionless,2.2614350385512685,2.4074447825693293,0.14600974401806077
exp(alpha),Baseline scoring rate,goals,1.2453122437481474,1.3206361159988445,0.07532387225069703
exp(beta),Shared-component rate,goals,0.03013491661393144,0.03058347601928241,0.0004485594053509692
log(2)/kappa,OU half-life,days,1127.5753036545266,1126.5753039463857,-0.9999997081408765
